Total duration (ms),Start date,Start station,End date,End station,Bike number,Subscription Type
2394764,01/01/2015 00:02,Constitution Ave & 2nd St NW/DOL,01/01/2015 00:42,15th & K St NW,W00612,Casual
2389161,01/01/2015 00:02,Constitution Ave & 2nd St NW/DOL,01/01/2015 00:42,15th & K St NW,W01140,Casual
468047,01/01/2015 00:04,20th & E St NW,01/01/2015 00:12,20th & O St NW / Dupont South,W01226,Registered
348068,01/01/2015 00:07,Park Rd & Holmead Pl NW,01/01/2015 00:13,15th & Euclid St  NW,W20216,Registered
980844,01/01/2015 00:09,Jefferson Dr & 14th St SW,01/01/2015 00:25,Thomas Circle,W21005,Casual
932411,01/01/2015 00:10,Jefferson Dr & 14th St SW,01/01/2015 00:26,Thomas Circle,W01126,Casual
387061,01/01/2015 00:12,New York Ave & 15th St NW,01/01/2015 00:18,14th & R St NW,W20464,Registered
321333,01/01/2015 00:13,Wilson Blvd & N Uhle St,01/01/2015 00:18,Clarendon Metro / Wilson Blvd & N Highland St,W20416,Registered
2646785,01/01/2015 00:17,Jefferson Memorial,01/01/2015 01:01,14th & D St NW / Ronald Reagan Building,W21343,Casual
294645,01/01/2015 00:16,17th & Corcoran St NW,01/01/2015 00:21,Thomas Circle,W21178,Registered
607267,01/01/2015 00:18,Adams Mill & Columbia Rd NW,01/01/2015 00:28,Lamont & Mt Pleasant NW,W01241,Casual
670671,01/01/2015 00:19,Market Square / King St & Royal St,01/01/2015 00:30,King St Metro,W00976,Casual
631332,01/01/2015 00:20,Market Square / King St & Royal St,01/01/2015 00:30,King St Metro,W00494,Casual
544248,01/01/2015 00:20,Columbia Rd & Georgia Ave NW,01/01/2015 00:29,1st & Rhode Island Ave NW,W01087,Registered
484599,01/01/2015 00:20,Adams Mill & Columbia Rd NW,01/01/2015 00:28,Lamont & Mt Pleasant NW,W00075,Registered
116189,01/01/2015 00:20,Thomas Circle,01/01/2015 00:22,11th & M St NW,W00715,Registered
1153457,01/01/2015 00:21,Jefferson Memorial,01/01/2015 00:41,Lynn & 19th St North,W01244,Registered
611941,01/01/2015 00:23,18th St & Wyoming Ave NW,01/01/2015 00:33,7th & R St NW / Shaw Library,W21894,Registered
359778,01/01/2015 00:23,15th & P St NW,01/01/2015 00:29,11th & M St NW,W01222,Registered
2104479,01/01/2015 00:25,Jefferson Memorial,01/01/2015 01:00,14th & D St NW / Ronald Reagan Building,W21548,Casual
928014,01/01/2015 00:25,14th & R St NW,01/01/2015 00:41,34th & Water St NW,W00392,Registered
829491,01/01/2015 00:28,1st & Rhode Island Ave NW,01/01/2015 00:42,California St & Florida Ave NW,W00219,Registered
619085,01/01/2015 00:28,Calvert St & Woodley Pl NW,01/01/2015 00:39,Adams Mill & Columbia Rd NW,W00258,Registered
513312,01/01/2015 00:28,20th & O St NW / Dupont South,01/01/2015 00:37,14th & V St NW,W00521,Registered
587230,01/01/2015 00:29,Calvert St & Woodley Pl NW,01/01/2015 00:38,Adams Mill & Columbia Rd NW,W21251,Registered
1258411,01/01/2015 00:29,4th & M St SW,01/01/2015 00:50,20th & E St NW,W20945,Registered
325901,01/01/2015 00:31,Eastern Market / 7th & North Carolina Ave SE,01/01/2015 00:36,15th St & Massachusetts Ave SE,W20894,Registered
317482,01/01/2015 00:31,Eastern Market / 7th & North Carolina Ave SE,01/01/2015 00:36,15th St & Massachusetts Ave SE,W21250,Registered
122895,01/01/2015 00:33,21st St & Constitution Ave NW,01/01/2015 00:35,US Dept of State / Virginia Ave & 21st St NW,W21962,Casual
959800,01/01/2015 00:32,Van Ness Metro / UDC,01/01/2015 00:48,Massachusetts Ave & Dupont Circle NW,W21374,Registered
410199,01/01/2015 00:34,Park Rd & Holmead Pl NW,01/01/2015 00:41,14th & V St NW,W21327,Registered
6023782,01/01/2015 00:35,Florida Ave & R St NW,01/01/2015 02:16,Gallaudet / 8th St & Florida Ave NE,W00170,Registered
1139223,01/01/2015 00:36,4th & East Capitol St NE,01/01/2015 00:55,25th St & Pennsylvania Ave NW,W20814,Registered
510888,01/01/2015 00:36,8th & H St NW,01/01/2015 00:45,10th & U St NW,W21094,Registered
331513,01/01/2015 00:39,Court House Metro / 15th & N Uhle St ,01/01/2015 00:45,Key Blvd & N Quinn St,W21331,Registered
147333,01/01/2015 00:40,18th St & Wyoming Ave NW,01/01/2015 00:42,New Hampshire Ave & T St NW,W00638,Registered
399522,01/01/2015 00:41,M St & Delaware Ave NE,01/01/2015 00:47,New Jersey Ave & R St NW,W00904,Registered
1929586,01/01/2015 00:42,16th & Harvard St NW,01/01/2015 01:15,1st & Rhode Island Ave NW,W00903,Casual
1015554,01/01/2015 00:42,14th St & Spring Rd NW,01/01/2015 00:59,7th & R St NW / Shaw Library,W20948,Registered
1017468,01/01/2015 00:42,14th St & Spring Rd NW,01/01/2015 00:59,7th & R St NW / Shaw Library,W20511,Registered
